t,IAA,IAAn,IBB,IBBn,IAB,IABn,IBA,IBAn
0.0232,1553000,49000,816700,49000,329600,49000,233100,49000
0.0432,1345000,49000,613200,49000,385400,49000,312600,49000
0.0632,1208000,47000,580400,47000,458200,47000,364200,47000
0.0832,1036000,45000,552800,45000,447300,45000,325900,45000
0.1032,979300,44000,483200,44000,483600,44000,368200,44000
0.1432,822400,41000,479500,41000,495600,41000,407100,41000
0.2232,572100,37000,319100,37000,437300,37000,297200,37000
0.3032,461800,34000,239900,34000,345300,34000,224200,34000
0.5832,169400,25500,63770,25500,95080,25500,77400,25500
0.8032,13060,23000,16940,23000,10,23000,10,23000
