t,IAA,IAAn,IBB,IBBn,IAB,IABn,IBA,IBAn
0.0232,1098000,49000,1176000,49000,269700,49000,248400,49000
0.0432,934500,49000,960700,49000,349500,49000,275200,49000
0.0632,920300,47000,878100,47000,315900,47000,318400,47000
0.0832,873800,45000,784000,45000,396800,45000,354100,45000
0.1032,785400,44000,734400,44000,425200,44000,358400,44000
0.1432,637900,41000,582100,41000,359700,41000,356000,41000
0.2232,436700,37000,495100,37000,370000,37000,369700,37000
0.3032,402300,34000,362100,34000,225000,34000,231800,34000
0.5832,178400,25500,180000,25500,174500,25500,113900,25500
0.8032,49720,23000,32750,23000,70000,23000,17410,23000
