t,IAA,IAAn,IBB,IBBn,IAB,IABn,IBA,IBAn
0.0232,1516000,49000,409800,49000,149600,49000,198200,49000
0.0432,1325000,49000,358100,49000,166200,49000,196500,49000
0.0632,1234000,47000,330800,47000,235500,47000,263900,47000
0.0832,1120000,45000,277800,45000,268700,45000,309000,45000
0.1032,1164000,44000,274800,44000,308200,44000,267300,44000
0.1432,938100,41000,241700,41000,303700,41000,316600,41000
0.2232,806900,37000,207200,37000,177400,37000,180900,37000
0.3032,570900,34000,180900,34000,230200,34000,239300,34000
0.5832,189600,25500,106100,25500,94080,25500,83530,25500
0.8032,74480,23000,16610,23000,10,23000,46170,23000
